group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,assumed_bound_deg
sensitivity,20262911,3,triangulate,random,spatial,1,16,16,1.0,7941.224844565467,496.3265527853417,0.0421695000040927,161,58,42,6780.224844565467,150.0,805.0,174.0,32.0,16,16,count_upper_bound,1.005
sensitivity,20262912,3,triangulate,random,spatial,1,15,15,1.0,9407.056362234194,627.137090815613,0.02604560000327183,198,43,28,8078.056362234194,180.0,990.0,129.0,30.0,15,25,full_coverage,1.005
sensitivity,20262913,3,triangulate,random,spatial,1,11,11,1.0,9194.285127340558,835.8441024855052,0.020702200003142934,286,27,16,7396.285127340558,265.0,1430.0,81.0,22.0,11,25,full_coverage,1.005
sensitivity,20262914,3,triangulate,random,spatial,1,10,10,1.0,9125.706384224251,912.5706384224252,0.01883329999691341,294,23,13,7293.70638422425,273.0,1470.0,69.0,20.0,10,25,full_coverage,1.005
sensitivity,20262910,3,triangulate,random,spatial,1.5,11,11,1.0,9218.319613593747,838.0290557812497,0.033176300006743986,282,29,18,7437.319613593747,262.0,1410.0,87.0,22.0,11,25,full_coverage,1.505
sensitivity,20262911,3,triangulate,random,spatial,1.5,16,16,1.0,8024.541903236136,501.5338689522585,0.05375310000090394,161,72,56,6821.541903236136,150.0,805.0,216.0,32.0,16,16,count_upper_bound,1.505
sensitivity,20262912,3,triangulate,random,spatial,1.5,15,15,1.0,9435.955321454174,629.0636880969449,0.03807709999819053,198,49,34,8088.955321454173,180.0,990.0,147.0,30.0,15,25,full_coverage,1.505
sensitivity,20262913,3,triangulate,random,spatial,1.5,11,11,1.0,9246.557561462681,840.5961419511528,0.028143400006229058,286,37,26,7418.557561462681,265.0,1430.0,111.0,22.0,11,25,full_coverage,1.505
sensitivity,20262914,3,triangulate,random,spatial,1.5,10,10,1.0,9203.598443962888,920.3598443962888,0.029499399999622256,294,37,27,7329.598443962887,273.0,1470.0,111.0,20.0,10,25,full_coverage,1.505
sensitivity,20262910,4,triangulate,random,spatial,0.5,11,11,1.0,12442.110647102345,1131.100967918395,0.09430310000607278,524,92,81,9042.110647102345,482.0,2620.0,276.0,22.0,11,49,full_coverage,0.505
sensitivity,20262911,4,triangulate,random,spatial,0.5,16,16,1.0,8934.156130575737,558.3847581609836,0.13507860000390792,266,140,124,6904.156130575739,248.0,1330.0,420.0,32.0,16,24,count_upper_bound,0.505
sensitivity,20262912,4,triangulate,random,spatial,0.5,15,15,1.0,11567.239479203088,771.1492986135393,0.06179559999873163,367,46,31,9239.239479203088,325.0,1835.0,138.0,30.0,15,49,full_coverage,0.505
sensitivity,20262913,4,triangulate,random,spatial,0.5,11,11,1.0,12610.296984837156,1146.390634985196,0.09200260000216076,529,89,78,9191.29698483716,485.0,2645.0,267.0,22.0,11,49,full_coverage,0.505
sensitivity,20262914,4,triangulate,random,spatial,0.5,10,10,1.0,12258.75602844416,1225.875602844416,0.04004700000223238,521,42,32,9031.75602844416,476.0,2605.0,126.0,20.0,10,49,full_coverage,0.505
sensitivity,20262910,4,triangulate,random,spatial,1,11,11,1.0,12754.354099044098,1159.486736276736,0.10282069999811938,524,136,125,9222.3540990441,482.0,2620.0,408.0,22.0,11,49,full_coverage,1.005
sensitivity,20262911,4,triangulate,random,spatial,1,16,16,1.0,9201.654301435856,575.103393839741,0.15484949999517994,266,179,163,7054.6543014358585,248.0,1330.0,537.0,32.0,16,24,count_upper_bound,1.005
sensitivity,20262912,4,triangulate,random,spatial,1,15,15,1.0,11965.279244465528,797.6852829643685,0.10237589999451302,367,89,74,9508.279244465526,325.0,1835.0,267.0,30.0,15,49,full_coverage,1.005
sensitivity,20262913,4,triangulate,random,spatial,1,11,11,1.0,12903.754032758301,1173.068548432573,0.1005250000016531,529,129,118,9364.754032758305,485.0,2645.0,387.0,22.0,11,49,full_coverage,1.005
sensitivity,20262914,4,triangulate,random,spatial,1,10,10,1.0,12343.63491109959,1234.363491109959,0.05471180000313325,521,58,48,9068.634911099589,476.0,2605.0,174.0,20.0,10,49,full_coverage,1.005
sensitivity,20262910,4,triangulate,random,spatial,1.5,11,11,1.0,13115.19244335375,1192.2902221230681,0.1374980000036885,524,182,171,9445.192443353752,482.0,2620.0,546.0,22.0,11,49,full_coverage,1.505
sensitivity,20262911,4,triangulate,random,spatial,1.5,16,16,1.0,9812.902746232265,613.3064216395165,0.210337199998321,266,262,246,7416.902746232267,248.0,1330.0,786.0,32.0,16,24,count_upper_bound,1.505
sensitivity,20262912,4,triangulate,random,spatial,1.5,15,15,1.0,12113.863484535543,807.5908989690362,0.13907910000125412,367,112,97,9587.863484535541,325.0,1835.0,336.0,30.0,15,49,full_coverage,1.505
sensitivity,20262913,4,triangulate,random,spatial,1.5,11,11,1.0,13324.301312451253,1211.3001193137502,0.13340370000514667,529,185,174,9617.301312451253,485.0,2645.0,555.0,22.0,11,49,full_coverage,1.505
sensitivity,20262914,4,triangulate,random,spatial,1.5,10,10,1.0,12552.662647498031,1255.2662647498032,0.09695409999403637,521,86,76,9193.662647498031,476.0,2605.0,258.0,20.0,10,49,full_coverage,1.505
