group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination
main,20260934,3,sweep,random,spatial,1,14,14,1.0,13449.480964895225,960.6772117782303,0.41352310000365833,206,727,713,10027.480964895225,183.0,1030.0,2181.0,28.0,14,25,full_coverage
main,20260934,3,triangulate,random,spatial,1,14,14,1.0,10152.718466039536,725.1941761456811,0.042039799998747185,220,60,46,8643.718466039536,201.0,1100.0,180.0,28.0,14,25,full_coverage
main,20260935,3,sweep,random,spatial,1,10,10,1.0,12234.644927136254,1223.4644927136255,0.347256599998218,310,554,544,8717.644927136254,285.0,1550.0,1662.0,20.0,10,25,full_coverage
main,20260935,3,triangulate,random,spatial,1,10,10,1.0,9812.797891515482,981.2797891515481,0.03486390000034589,320,22,12,7826.797891515479,300.0,1600.0,66.0,20.0,10,25,full_coverage
main,20260936,3,sweep,random,spatial,1,15,15,1.0,13874.186843197656,924.9457895465105,0.49522330000036163,175,829,814,10329.186843197658,153.0,875.0,2487.0,30.0,15,25,full_coverage
main,20260936,3,triangulate,random,spatial,1,15,15,1.0,9500.278411315776,633.3518940877184,0.039436599996406585,190,32,17,8255.278411315774,169.0,950.0,96.0,30.0,15,25,full_coverage
main,20260937,3,sweep,random,spatial,1,11,11,1.0,12935.994816615475,1175.999528783225,0.3802032999956282,256,720,709,9242.994816615475,231.0,1280.0,2160.0,22.0,11,25,full_coverage
main,20260937,3,triangulate,random,spatial,1,11,11,1.0,8782.277724851154,798.3888840773776,0.031536999995296355,267,39,28,7062.277724851153,246.0,1335.0,117.0,22.0,11,25,full_coverage
main,20260938,3,sweep,random,spatial,1,12,12,1.0,10272.324295543664,856.0270246286386,0.4625391000008676,254,364,352,7657.3242955436635,229.0,1270.0,1092.0,24.0,12,25,full_coverage
main,20260938,3,triangulate,random,spatial,1,12,12,1.0,9753.658776901124,812.8048980750937,0.012120800005504861,266,16,4,8104.658776901126,247.0,1330.0,48.0,24.0,12,25,full_coverage
main,20260939,3,sweep,random,spatial,1,10,10,1.0,10191.723941461372,1019.1723941461372,0.3304248999993433,292,356,346,7376.7239414613705,267.0,1460.0,1068.0,20.0,10,25,full_coverage
main,20260939,3,triangulate,random,spatial,1,10,10,1.0,8936.5267927251,893.6526792725101,0.020719299995107576,302,21,11,7061.5267927251025,282.0,1510.0,63.0,20.0,10,25,full_coverage
main,20260940,3,sweep,random,spatial,1,10,10,1.0,9646.145097251829,964.6145097251829,0.4033216000025277,293,395,385,6708.145097251829,268.0,1465.0,1185.0,20.0,10,25,full_coverage
main,20260940,3,triangulate,random,spatial,1,10,10,1.0,8685.82217516402,868.5822175164019,0.025802600001043174,303,24,14,6795.822175164018,283.0,1515.0,72.0,20.0,10,25,full_coverage
main,20260941,3,sweep,random,spatial,1,11,11,1.0,12245.788513226944,1113.2535012024493,0.36005190000287257,305,629,618,8529.788513226944,282.0,1525.0,1887.0,22.0,11,25,full_coverage
main,20260941,3,triangulate,random,spatial,1,11,11,1.0,9209.122423940005,837.1929476309095,0.03906329999881564,316,45,34,7176.122423940005,296.0,1580.0,135.0,22.0,11,25,full_coverage
main,20260942,3,sweep,random,spatial,1,12,12,1.0,10410.935738667476,867.5779782222897,0.38457519999792567,250,485,473,7455.9357386674765,226.0,1250.0,1455.0,24.0,12,25,full_coverage
main,20260942,3,triangulate,random,spatial,1,12,12,1.0,8771.7580736537,730.9798394711416,0.017272299999604,262,30,18,7103.758073653702,244.0,1310.0,90.0,24.0,12,25,full_coverage
main,20260943,3,sweep,random,spatial,1,13,13,1.0,11789.847536604775,906.9113489695981,0.40497809999942547,272,571,558,8441.847536604771,249.0,1360.0,1713.0,26.0,13,25,full_coverage
main,20260943,3,triangulate,random,spatial,1,13,13,1.0,9815.715177808073,755.0550136775441,0.024230600000009872,285,24,11,8026.715177808073,266.0,1425.0,72.0,26.0,13,25,full_coverage
main,20260944,3,sweep,random,spatial,1,16,16,1.0,10061.010099505027,628.8131312190642,0.45945409999694675,59,869,853,7075.010099505027,52.0,295.0,2607.0,32.0,16,7,count_upper_bound
main,20260944,3,triangulate,random,spatial,1,16,16,1.0,6132.749462593057,383.29684141206604,0.03494239999417914,75,43,27,5525.749462593058,71.0,375.0,129.0,32.0,16,7,count_upper_bound
main,20260945,3,sweep,random,spatial,1,11,11,1.0,11820.860579407243,1074.6236890370221,0.28415039999526925,300,595,584,8236.86057940724,277.0,1500.0,1785.0,22.0,11,25,full_coverage
main,20260945,3,triangulate,random,spatial,1,11,11,1.0,9441.402146489296,858.3092860444814,0.02504890000273008,311,40,29,7453.402146489296,291.0,1555.0,120.0,22.0,11,25,full_coverage
main,20260946,3,sweep,random,spatial,1,10,10,1.0,10495.869501268538,1049.586950126854,0.29805149999447167,314,418,408,7361.869501268541,290.0,1570.0,1254.0,20.0,10,25,full_coverage
main,20260946,3,triangulate,random,spatial,1,10,10,1.0,9147.089112509191,914.7089112509191,0.03877989999455167,324,27,17,7122.089112509193,304.0,1620.0,81.0,20.0,10,25,full_coverage
main,20260947,3,sweep,random,spatial,1,14,14,1.0,12052.136947024075,860.866924787434,0.503496899997117,218,641,627,8817.136947024075,194.0,1090.0,1923.0,28.0,14,25,full_coverage
main,20260947,3,triangulate,random,spatial,1,14,14,1.0,9360.537505192244,668.609821799446,0.032637399999657646,232,39,25,7842.537505192244,213.0,1160.0,117.0,28.0,14,25,full_coverage
main,20260948,3,sweep,random,spatial,1,14,14,1.0,12376.619861182222,884.0442757987302,0.44677869999577524,215,641,627,9160.619861182222,190.0,1075.0,1923.0,28.0,14,25,full_coverage
main,20260948,3,triangulate,random,spatial,1,14,14,1.0,9909.90805596356,707.8505754259686,0.039963600000191946,229,36,22,8420.90805596356,208.0,1145.0,108.0,28.0,14,25,full_coverage
main,20260949,3,sweep,random,spatial,1,15,15,1.0,15051.890831919109,1003.4593887946072,0.48903200000495417,169,935,920,11227.890831919109,144.0,845.0,2805.0,30.0,15,25,full_coverage
main,20260949,3,triangulate,random,spatial,1,15,15,1.0,10425.492900671903,695.0328600447936,0.036039200000232086,184,48,33,9168.492900671901,163.0,920.0,144.0,30.0,15,25,full_coverage
main,20260910,4,sweep,random,spatial,1,11,11,1.0,14428.717182244432,1311.7015620222212,0.3128791000053752,577,633,622,9093.717182244436,529.0,2885.0,1899.0,22.0,11,49,full_coverage
main,20260910,4,triangulate,random,spatial,1,11,11,1.0,12155.897897068502,1105.0816270062276,0.0790731999950367,588,92,81,8370.897897068502,547.0,2940.0,276.0,22.0,11,49,full_coverage
main,20260911,4,sweep,random,spatial,1,10,10,1.0,14695.136016765859,1469.513601676586,0.3492693000007421,568,571,561,9602.13601676586,520.0,2840.0,1713.0,20.0,10,49,full_coverage
main,20260911,4,triangulate,random,spatial,1,10,10,1.0,11961.379774502462,1196.1379774502461,0.08452899999974761,578,57,47,8346.37977450246,534.0,2890.0,171.0,20.0,10,49,full_coverage
main,20260912,4,sweep,random,spatial,1,16,16,1.0,13398.541444521827,837.4088402826142,0.5586127000060515,399,841,825,8480.541444521832,368.0,1995.0,2523.0,32.0,16,32,count_upper_bound
main,20260912,4,triangulate,random,spatial,1,16,16,1.0,11175.574411906684,698.4734007441677,0.12617680000403197,415,174,158,8156.574411906692,390.0,2075.0,522.0,32.0,16,32,count_upper_bound
main,20260913,4,sweep,random,spatial,1,10,10,1.0,14557.907466062295,1455.7907466062295,0.384256400000595,586,550,540,9419.907466062295,538.0,2930.0,1650.0,20.0,10,49,full_coverage
main,20260913,4,triangulate,random,spatial,1,10,10,1.0,13131.019913619892,1313.1019913619891,0.11258210000232793,596,87,77,9317.019913619893,553.0,2980.0,261.0,20.0,10,49,full_coverage
main,20260914,4,sweep,random,spatial,1,14,14,1.0,16622.57663807767,1187.3269027198335,0.45707799999945564,351,881,867,11894.576638077671,302.0,1755.0,2643.0,28.0,14,49,full_coverage
main,20260914,4,triangulate,random,spatial,1,14,14,1.0,13268.252428754598,947.7323163396142,0.14373949999571778,365,87,73,10832.252428754597,322.0,1825.0,261.0,28.0,14,49,full_coverage
main,20260915,4,sweep,random,spatial,1,13,13,1.0,14634.932762725635,1125.7640586712027,0.39914670000143815,418,633,620,10248.932762725639,371.0,2090.0,1899.0,26.0,13,49,full_coverage
main,20260915,4,triangulate,random,spatial,1,13,13,1.0,13060.237587273346,1004.6336605594881,0.1616063999972539,431,125,112,10117.237587273346,387.0,2155.0,375.0,26.0,13,49,full_coverage
main,20260916,4,sweep,random,spatial,1,14,14,1.0,15438.894992106156,1102.7782137218683,0.4856024000036996,430,723,709,10708.894992106161,383.0,2150.0,2169.0,28.0,14,49,full_coverage
main,20260916,4,triangulate,random,spatial,1,14,14,1.0,14113.461343196435,1008.1043816568882,0.15685149999626447,444,253,239,10705.461343196437,401.0,2220.0,759.0,28.0,14,49,full_coverage
main,20260917,4,sweep,random,spatial,1,13,13,1.0,14361.988430768084,1104.7683408283142,0.4569995999991079,421,630,617,9968.988430768084,372.0,2105.0,1890.0,26.0,13,49,full_coverage
main,20260917,4,triangulate,random,spatial,1,13,13,1.0,12928.262163115667,994.4817048550514,0.1603021999981138,452,130,117,9843.26216311567,409.0,2260.0,390.0,26.0,13,49,full_coverage
