run,case_code,sources_cleared,total_virtual_s,seconds_per_source,move_s,measure_s,switch_s,optical_s,laser_s,actions,program_s,stations,q3_policy_sha,q4_policy_sha
q3_20260913_090317_f2651d94,,11,3041.883,276.53,2233.9,635.0,118.0,33.0,22.0,140,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090329_809ba377,,14,3500.414,250.03,2628.4,585.0,109.0,150.0,28.0,169,0.6,7,d12fa3a5,3de0e9a0
q3_20260913_090345_158b86a2,,13,3555.722,273.52,2651.7,710.0,129.0,39.0,26.0,157,0.6,7,d12fa3a5,3de0e9a0
q3_20260913_090357_5e9c26d2,,13,2900.218,223.09,2056.2,655.0,124.0,39.0,26.0,146,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090411_7f9be116,,13,3590.829,276.22,2732.8,670.0,123.0,39.0,26.0,149,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090423_60ecfe3c,,12,3361.618,280.13,2543.6,640.0,118.0,36.0,24.0,142,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090436_46cab44d,,13,3033.021,233.31,2239.0,615.0,114.0,39.0,26.0,138,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090456_cebef83a,,10,3057.686,305.77,2212.7,670.0,125.0,30.0,20.0,146,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090508_8bc05db6,,14,3620.929,258.64,2721.9,620.0,116.0,135.0,28.0,171,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090520_cae596c9,,10,3055.984,305.6,2154.0,645.0,117.0,120.0,20.0,171,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090533_ab27ae1b,,13,3185.59,245.05,2406.6,585.0,108.0,60.0,26.0,139,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090545_4603b178,,14,3353.533,239.54,2523.5,640.0,120.0,42.0,28.0,144,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090558_5ea45879,,10,2989.125,298.91,2146.1,670.0,123.0,30.0,20.0,146,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090609_eaa3b06f,,15,3252.456,216.83,2435.5,585.0,109.0,93.0,30.0,150,0.6,7,d12fa3a5,3de0e9a0
