seed,question,variant,kind,noise,sources,cleared,seconds_per_source,virtual_s,runtime_s,actions,move_s,measure_s,switch_s,optical_s,laser_s,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits
20260911,4,route,random,spatial,10,10,1247.7052880223077,12477.052880223078,0.05481629999849247,699,8637.052880223076,2945.0,545.0,330.0,20.0,10,49,full_coverage,0,0
20260911,4,shared,random,spatial,10,10,1225.6269717345804,12256.269717345804,0.05701079999562353,635,8638.269717345802,2900.0,533.0,165.0,20.0,10,49,full_coverage,5,3
20260912,4,B1,random,spatial,16,16,698.4734007441677,11175.574411906684,0.11405229999945732,589,8156.574411906692,2075.0,390.0,522.0,32.0,16,32,count_upper_bound,,
20260912,4,route,random,spatial,16,16,662.0127101007364,10592.203361611782,0.13338920000387589,549,7694.203361611792,2075.0,389.0,402.0,32.0,16,33,count_upper_bound,0,0
20260912,4,shared,random,spatial,16,16,638.8690057189939,10221.904091503902,0.13468039999861503,554,7291.904091503909,2110.0,392.0,396.0,32.0,16,33,count_upper_bound,12,8
20260913,4,B1,random,spatial,10,10,1313.1019913619891,13131.019913619892,0.09921770000073593,683,9317.019913619893,2980.0,553.0,261.0,20.0,10,49,full_coverage,,
20260913,4,route,random,spatial,10,10,1231.5683092746235,12315.683092746236,0.0746179999987362,625,8831.683092746234,2720.0,501.0,243.0,20.0,10,49,full_coverage,0,0
20260913,4,shared,random,spatial,10,10,1247.78934167933,12477.893416793298,0.0772919999944861,633,8949.893416793297,2755.0,507.0,246.0,20.0,10,49,full_coverage,9,4
20260914,4,B1,random,spatial,14,14,947.7323163396142,13268.252428754598,0.08427189999929396,452,10832.252428754597,1825.0,322.0,261.0,28.0,14,49,full_coverage,,
20260914,4,route,random,spatial,14,14,957.5629975564785,13405.881965790699,0.13187990000005811,543,10696.881965790697,1825.0,322.0,534.0,28.0,14,49,full_coverage,0,0
20260914,4,shared,random,spatial,14,14,887.8730928834755,12430.223300368656,0.11183909999817843,566,9547.223300368656,2005.0,355.0,495.0,28.0,14,49,full_coverage,16,11
20260915,4,B1,random,spatial,13,13,1004.6336605594881,13060.237587273346,0.09776360000250861,556,10117.237587273346,2155.0,387.0,375.0,26.0,13,49,full_coverage,,
20260915,4,route,random,spatial,13,13,954.775794025759,12412.085322334866,0.10261889999674167,576,9284.085322334866,2360.0,430.0,312.0,26.0,13,49,full_coverage,0,0
20260915,4,shared,random,spatial,13,13,940.2357208731339,12223.064371350742,0.10426949999964563,576,9068.064371350747,2410.0,437.0,282.0,26.0,13,49,full_coverage,9,8
20260916,4,B1,random,spatial,14,14,1008.1043816568882,14113.461343196435,0.10668799999984913,697,10705.461343196437,2220.0,401.0,759.0,28.0,14,49,full_coverage,,
20260916,4,route,random,spatial,14,14,1025.746021133525,14360.444295869347,0.17763940000440925,753,10784.44429586935,2220.0,401.0,927.0,28.0,14,49,full_coverage,0,0
20260916,4,shared,random,spatial,14,14,972.8957483774693,13620.54047728457,0.14465520000521792,714,10138.54047728458,2260.0,408.0,786.0,28.0,14,49,full_coverage,15,10
20260917,4,B1,random,spatial,13,13,994.4817048550514,12928.262163115667,0.11906420000013895,582,9843.26216311567,2260.0,409.0,390.0,26.0,13,49,full_coverage,,
20260917,4,route,random,spatial,13,13,1021.4034317078517,13278.244612202072,0.11454419999790844,679,9649.244612202072,2680.0,494.0,429.0,26.0,13,49,full_coverage,0,0
20260917,4,shared,random,spatial,13,13,993.0409473558254,12909.532315625731,0.09057920000486774,662,9320.53231562573,2705.0,495.0,363.0,26.0,13,49,full_coverage,9,6
20260918,4,B1,random,spatial,15,15,897.3476965629811,13460.215448444716,0.13509769999654964,524,10894.215448444716,1675.0,294.0,567.0,30.0,15,49,full_coverage,,
20260918,4,route,random,spatial,15,15,771.9239752400641,11578.859628600962,0.08575560000463156,441,9211.85962860096,1760.0,310.0,267.0,30.0,15,49,full_coverage,0,0
20260918,4,shared,random,spatial,15,15,728.7562368444876,10931.343552667315,0.06435250000504311,413,8622.343552667315,1805.0,318.0,156.0,30.0,15,49,full_coverage,17,14
20260919,4,B1,random,spatial,11,11,1200.027709636691,13200.304806003602,0.09543240000493824,670,9696.304806003602,2525.0,462.0,495.0,22.0,11,49,full_coverage,,
20260919,4,route,random,spatial,11,11,1169.752891176747,12867.281802944217,0.07499220000318019,642,9463.281802944219,2500.0,456.0,426.0,22.0,11,49,full_coverage,0,0
20260919,4,shared,random,spatial,11,11,1168.4615060616438,12853.076566678083,0.07652409999718657,652,9411.076566678084,2515.0,458.0,447.0,22.0,11,49,full_coverage,7,6
20260920,4,B1,random,spatial,13,13,997.6644178983099,12969.63743267803,0.1468987999978708,649,9417.637432678035,2700.0,499.0,327.0,26.0,13,49,full_coverage,,
20260920,4,route,random,spatial,13,13,1030.9166441995635,13401.916374594324,0.16957369999727234,685,9810.916374594326,2585.0,476.0,504.0,26.0,13,49,full_coverage,0,0
20260920,4,shared,random,spatial,13,13,1004.0218042874042,13052.283455736255,0.14421410000068136,688,9370.283455736262,2725.0,502.0,429.0,26.0,13,49,full_coverage,7,4
20260921,4,B1,random,spatial,10,10,1293.747457669968,12937.47457669968,0.07637529999919934,731,8777.474576699682,3315.0,621.0,204.0,20.0,10,49,full_coverage,,
20260921,4,route,random,spatial,10,10,1277.3082886890218,12773.082886890217,0.055806100004701875,722,8606.082886890217,3375.0,631.0,141.0,20.0,10,49,full_coverage,0,0
20260921,4,shared,random,spatial,10,10,1275.830913369294,12758.30913369294,0.05674930000532186,724,8581.30913369294,3385.0,631.0,141.0,20.0,10,49,full_coverage,3,1
20260922,4,B1,random,spatial,14,14,850.984668168116,11913.785354353624,0.05066100000112783,509,9035.785354353626,2275.0,413.0,162.0,28.0,14,49,full_coverage,,
20260922,4,route,random,spatial,14,14,912.9017494699095,12780.624492578734,0.0976548000035109,596,9637.624492578738,2280.0,415.0,420.0,28.0,14,49,full_coverage,0,0
20260922,4,shared,random,spatial,14,14,903.1622488316673,12644.271483643342,0.09805960000085179,595,9486.271483643344,2310.0,421.0,399.0,28.0,14,49,full_coverage,9,5
20260923,4,B1,random,spatial,10,10,1286.8445965300475,12868.445965300476,0.05101949999516364,689,9052.445965300478,2955.0,547.0,294.0,20.0,10,49,full_coverage,,
20260923,4,route,random,spatial,10,10,1268.168723664937,12681.68723664937,0.07469049999781419,739,8715.687236649372,2955.0,547.0,444.0,20.0,10,49,full_coverage,0,0
20260923,4,shared,random,spatial,10,10,1266.823104450164,12668.231044501641,0.05595609999727458,656,9047.231044501641,2800.0,513.0,288.0,20.0,10,49,full_coverage,12,4
20260924,4,B1,random,spatial,12,12,1031.297053771359,12375.564645256309,0.07267789999605156,614,8890.564645256312,2770.0,511.0,180.0,24.0,12,49,full_coverage,,
