data_source,case_id,phase,question,seed,kind,noise,true_source_count,cleared_count,clear_ratio,virtual_time,average_clear_time,real_program_time,movement_distance,measure_count,channel_switch_count,clear_attempt_count,failed_clear_count,strategy_version,parameters,visited_survey_points,termination,move_s,measure_s,switch_s,optical_s,laser_s,validation_passed,notes
local_synthetic,local-3-2026090110-random,development,3,2026090110,random,spatial,10,10,1.0,8143.256269292989,814.3256269292989,0.027205299998968258,30941.281346464944,310,289,32,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6188.256269292989,1550.0,289.0,96.0,20.0,True,
local_synthetic,local-3-2026090111-random,development,3,2026090111,random,spatial,10,10,1.0,8605.611864032195,860.5611864032195,0.023017600000457605,32308.05932016097,344,323,27,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6461.611864032194,1720.0,323.0,81.0,20.0,True,
local_synthetic,local-3-2026090112-random,development,3,2026090112,random,spatial,15,15,1.0,8938.89923650091,595.9266157667274,0.03565270000035525,36459.496182504554,253,232,40,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7291.899236500911,1265.0,232.0,120.0,30.0,True,
local_synthetic,local-3-2026090113-random,development,3,2026090113,random,spatial,11,11,1.0,9335.614137490498,848.692194317318,0.023990600000615814,37868.07068745249,280,259,27,16,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7573.614137490498,1400.0,259.0,81.0,22.0,True,
local_synthetic,local-3-2026090114-random,development,3,2026090114,random,spatial,13,13,1.0,9343.702677967547,718.7463598436575,0.026542499999777647,38588.51338983774,253,233,34,21,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7717.702677967547,1265.0,233.0,102.0,26.0,True,
local_synthetic,local-3-2026090115-random,development,3,2026090115,random,spatial,16,16,1.0,6686.962192036191,417.9351370022619,0.0358209000005445,27569.810960180952,176,159,34,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",17,count_upper_bound,5513.962192036191,880.0,159.0,102.0,32.0,True,
local_synthetic,local-3-2026090116-random,development,3,2026090116,random,spatial,13,13,1.0,8781.405372369401,675.4927209514924,0.039428099998986,35087.026861847,270,253,45,32,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7017.4053723694,1350.0,253.0,135.0,26.0,True,
local_synthetic,local-3-2026090117-random,development,3,2026090117,random,spatial,13,13,1.0,8587.3452453114,660.5650188701077,0.041106099999524304,35601.726226557,227,204,34,21,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7120.3452453114005,1135.0,204.0,102.0,26.0,True,
local_synthetic,local-3-2026090118-random,development,3,2026090118,random,spatial,13,13,1.0,8297.678708843232,638.2829776033255,0.042160400000284426,33873.39354421617,234,213,38,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6774.678708843234,1170.0,213.0,114.0,26.0,True,
local_synthetic,local-3-2026090119-random,development,3,2026090119,random,spatial,14,14,1.0,8666.70232920741,619.0501663719579,0.028187400001115748,35643.51164603705,241,224,27,13,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7128.70232920741,1205.0,224.0,81.0,28.0,True,
local_synthetic,local-3-2026091100-random,holdout,3,2026091100,random,spatial,10,10,1.0,7937.053848738102,793.7053848738102,0.017610799999602023,30720.26924369051,293,272,12,2,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6144.053848738102,1465.0,272.0,36.0,20.0,True,
local_synthetic,local-3-2026091101-random,holdout,3,2026091101,random,spatial,14,14,1.0,9516.07376739604,679.7195548140028,0.025823799998761388,38870.36883698019,273,253,32,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7774.0737673960375,1365.0,253.0,96.0,28.0,True,
local_synthetic,local-3-2026091102-random,holdout,3,2026091102,random,spatial,12,12,1.0,9124.009199987078,760.3340999989232,0.027771999999458785,37115.04599993537,269,248,28,16,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7423.009199987074,1345.0,248.0,84.0,24.0,True,
local_synthetic,local-3-2026091103-random,holdout,3,2026091103,random,spatial,16,16,1.0,5682.47748020873,355.15484251304565,0.04722389999915322,22547.38740104365,149,141,85,69,baseline-shared,"{""q3_survey_layout"": ""grid""}",12,count_upper_bound,4509.4774802087295,745.0,141.0,255.0,32.0,True,
local_synthetic,local-3-2026091104-random,holdout,3,2026091104,random,spatial,16,16,1.0,7187.809751505338,449.2381094690836,0.03833119999944756,30169.04875752669,167,152,45,29,baseline-shared,"{""q3_survey_layout"": ""grid""}",18,count_upper_bound,6033.809751505338,835.0,152.0,135.0,32.0,True,
local_synthetic,local-3-2026091105-random,holdout,3,2026091105,random,spatial,12,12,1.0,8867.215477961552,738.9346231634627,0.03335039999910805,35456.07738980775,272,251,47,35,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7091.215477961551,1360.0,251.0,141.0,24.0,True,
local_synthetic,local-3-2026091106-random,holdout,3,2026091106,random,spatial,16,16,1.0,6991.355096429946,436.9596935268716,0.04580970000097295,29666.77548214972,153,138,41,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",17,count_upper_bound,5933.355096429944,765.0,138.0,123.0,32.0,True,
local_synthetic,local-3-2026091107-random,holdout,3,2026091107,random,spatial,11,11,1.0,9711.760541700605,882.8873219727823,0.029398200000287034,38593.802708503026,314,296,35,24,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7718.760541700605,1570.0,296.0,105.0,22.0,True,
local_synthetic,local-3-2026091108-random,holdout,3,2026091108,random,spatial,12,12,1.0,8391.734264100141,699.3111886750117,0.02674990000014077,32553.671320500704,297,273,33,21,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6510.7342641001405,1485.0,273.0,99.0,24.0,True,
local_synthetic,local-3-2026091109-random,holdout,3,2026091109,random,spatial,14,14,1.0,8579.2910772479,612.8065055177073,0.033014600001479266,35876.455386239504,217,195,32,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7175.291077247901,1085.0,195.0,96.0,28.0,True,
local_synthetic,local-3-2026091110-random,holdout,3,2026091110,random,spatial,15,15,1.0,9110.895651528837,607.3930434352558,0.038344300000972,38314.47825764418,223,201,34,19,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7662.8956515288355,1115.0,201.0,102.0,30.0,True,
local_synthetic,local-3-2026091111-random,holdout,3,2026091111,random,spatial,16,16,1.0,5382.27904667739,336.3924404173369,0.0351143999996566,22151.395233386946,128,121,53,37,baseline-shared,"{""q3_survey_layout"": ""grid""}",10,count_upper_bound,4430.2790466773895,640.0,121.0,159.0,32.0,True,
local_synthetic,local-3-2026091112-random,holdout,3,2026091112,random,spatial,13,13,1.0,9096.279474113508,699.7138057010391,0.027486500001032255,37321.39737056753,259,236,25,12,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7464.279474113507,1295.0,236.0,75.0,26.0,True,
local_synthetic,local-3-2026091113-random,holdout,3,2026091113,random,spatial,10,10,1.0,8721.916464618016,872.1916464618016,0.02089730000079726,33019.58232309008,341,318,25,15,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6603.916464618016,1705.0,318.0,75.0,20.0,True,
local_synthetic,local-3-2026091114-random,holdout,3,2026091114,random,spatial,15,15,1.0,8736.814199206183,582.4542799470788,0.027740300000004936,36129.070996030925,234,212,33,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7225.814199206185,1170.0,212.0,99.0,30.0,True,
local_synthetic,local-3-2026091115-random,holdout,3,2026091115,random,spatial,11,11,1.0,8677.472921260936,788.8611746600851,0.029402600001048995,34212.36460630468,295,272,22,11,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6842.472921260936,1475.0,272.0,66.0,22.0,True,
local_synthetic,local-3-2026091116-random,holdout,3,2026091116,random,spatial,11,11,1.0,7515.750088180404,683.2500080164004,0.021861400000489084,29463.750440902022,261,236,20,9,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,5892.750088180404,1305.0,236.0,60.0,22.0,True,
local_synthetic,local-3-2026091117-random,holdout,3,2026091117,random,spatial,13,13,1.0,7598.094204147561,584.4687849344277,0.05441729999984091,30580.471020737794,221,198,51,38,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6116.094204147559,1105.0,198.0,153.0,26.0,True,
local_synthetic,local-3-2026091118-random,holdout,3,2026091118,random,spatial,13,13,1.0,8361.179492855332,643.167653296564,0.04455220000090776,34200.897464276655,221,198,64,51,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6840.179492855332,1105.0,198.0,192.0,26.0,True,
local_synthetic,local-3-2026091119-random,holdout,3,2026091119,random,spatial,11,11,1.0,8563.584047024553,778.5076406385957,0.029617899999720976,33787.920235122765,288,266,26,15,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6757.584047024553,1440.0,266.0,78.0,22.0,True,
local_synthetic,local-3-2026091120-random,holdout,3,2026091120,random,spatial,14,14,1.0,9168.53542714575,654.8953876532679,0.02894209999976738,37457.677135728736,260,241,36,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7491.535427145747,1300.0,241.0,108.0,28.0,True,
local_synthetic,local-3-2026091121-random,holdout,3,2026091121,random,spatial,16,16,1.0,5043.3776333309515,315.21110208318447,0.03211699999883422,20456.888166654746,131,121,48,32,baseline-shared,"{""q3_survey_layout"": ""grid""}",11,count_upper_bound,4091.377633330949,655.0,121.0,144.0,32.0,True,
local_synthetic,local-3-2026091122-random,holdout,3,2026091122,random,spatial,10,10,1.0,8827.953078620038,882.7953078620037,0.025521199999275268,34524.76539310018,307,287,27,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6904.953078620036,1535.0,287.0,81.0,20.0,True,
local_synthetic,local-3-2026091123-random,holdout,3,2026091123,random,spatial,15,15,1.0,8230.020859118235,548.6680572745489,0.03266760000042268,34405.10429559117,206,187,34,19,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6881.0208591182345,1030.0,187.0,102.0,30.0,True,
local_synthetic,local-3-2026091124-random,holdout,3,2026091124,random,spatial,16,16,1.0,6958.8464479283175,434.92790299551984,0.049873899999511195,28499.232239641577,178,166,57,41,baseline-shared,"{""q3_survey_layout"": ""grid""}",16,count_upper_bound,5699.846447928316,890.0,166.0,171.0,32.0,True,
local_synthetic,local-3-2026091125-random,holdout,3,2026091125,random,spatial,15,15,1.0,8884.559490349719,592.3039660233146,0.05007840000143915,37597.79745174859,200,179,52,37,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7519.5594903497185,1000.0,179.0,156.0,30.0,True,
local_synthetic,local-3-2026091126-random,holdout,3,2026091126,random,spatial,11,11,1.0,8102.302435439774,736.5729486763431,0.032610700000077486,32101.512177198874,266,243,29,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6420.302435439775,1330.0,243.0,87.0,22.0,True,
local_synthetic,local-3-2026091127-random,holdout,3,2026091127,random,spatial,16,16,1.0,6275.22133092136,392.201333182585,0.04312939999908849,26096.106654606803,151,137,44,28,baseline-shared,"{""q3_survey_layout"": ""grid""}",16,count_upper_bound,5219.22133092136,755.0,137.0,132.0,32.0,True,
local_synthetic,local-3-2026091128-random,holdout,3,2026091128,random,spatial,13,13,1.0,9321.640980167274,717.0493061667134,0.03609640000104264,38893.20490083637,233,211,47,34,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7778.640980167274,1165.0,211.0,141.0,26.0,True,
local_synthetic,local-3-2026091129-random,holdout,3,2026091129,random,spatial,10,10,1.0,8571.705486858726,857.1705486858725,0.029126499999620137,32988.52743429363,310,290,38,28,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6597.705486858726,1550.0,290.0,114.0,20.0,True,
local_synthetic,local-3-2026091130-random,holdout,3,2026091130,random,spatial,15,15,1.0,8349.984365925291,556.6656243950194,0.04111919999922975,35669.92182962646,186,163,31,16,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7133.984365925292,930.0,163.0,93.0,30.0,True,
local_synthetic,local-3-2026091131-random,holdout,3,2026091131,random,spatial,14,14,1.0,8481.89965617702,605.8499754412157,0.040578100000857376,35019.4982808851,223,200,45,31,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7003.89965617702,1115.0,200.0,135.0,28.0,True,
local_synthetic,local-3-2026091132-random,holdout,3,2026091132,random,spatial,16,16,1.0,6424.4085100654565,401.52553187909103,0.035761299999649054,25922.042550327264,184,174,38,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",15,count_upper_bound,5184.408510065453,920.0,174.0,114.0,32.0,True,
local_synthetic,local-3-2026091133-random,holdout,3,2026091133,random,spatial,12,12,1.0,7853.250745059073,654.4375620882561,0.02979840000080003,31211.253725295363,251,230,34,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6242.250745059073,1255.0,230.0,102.0,24.0,True,
local_synthetic,local-3-2026091134-random,holdout,3,2026091134,random,spatial,12,12,1.0,8996.185342591863,749.6821118826552,0.0235926000004838,35735.92671295931,292,272,31,19,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7147.1853425918625,1460.0,272.0,93.0,24.0,True,
local_synthetic,local-3-2026091135-random,holdout,3,2026091135,random,spatial,11,11,1.0,8659.084257901497,787.1894779910452,0.03423369999836723,34160.42128950749,282,260,45,34,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6832.084257901497,1410.0,260.0,135.0,22.0,True,
local_synthetic,local-3-2026091136-random,holdout,3,2026091136,random,spatial,11,11,1.0,8483.573917218508,771.2339924744098,0.026191900000412716,33392.869586092536,290,267,22,11,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6678.573917218507,1450.0,267.0,66.0,22.0,True,
local_synthetic,local-3-2026091137-random,holdout,3,2026091137,random,spatial,13,13,1.0,7982.482144466734,614.0370880359026,0.0349380999996356,31647.41072233367,260,237,30,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6329.482144466734,1300.0,237.0,90.0,26.0,True,
local_synthetic,local-3-2026091138-random,holdout,3,2026091138,random,spatial,15,15,1.0,8396.872053007384,559.7914702004923,0.045156100000895094,35759.360265036914,187,163,39,24,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7151.872053007383,935.0,163.0,117.0,30.0,True,
local_synthetic,local-3-2026091139-random,holdout,3,2026091139,random,spatial,13,13,1.0,9218.076070858056,709.082774681389,0.03376690000004601,38265.38035429028,243,222,34,21,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7653.0760708580565,1215.0,222.0,102.0,26.0,True,
local_synthetic,local-3-2026091140-random,holdout,3,2026091140,random,spatial,16,16,1.0,4726.950946462929,295.43443415393307,0.03456790000018373,18889.754732314635,128,124,51,35,baseline-shared,"{""q3_survey_layout"": ""grid""}",10,count_upper_bound,3777.950946462927,640.0,124.0,153.0,32.0,True,
local_synthetic,local-3-2026091141-random,holdout,3,2026091141,random,spatial,15,15,1.0,9276.549647767311,618.4366431844875,0.04950930000086373,40122.748238836546,185,162,45,30,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,8024.54964776731,925.0,162.0,135.0,30.0,True,
local_synthetic,local-3-2026091142-random,holdout,3,2026091142,random,spatial,14,14,1.0,8265.05642597199,590.3611732837136,0.04508929999974498,33605.28212985996,232,209,49,35,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6721.056425971991,1160.0,209.0,147.0,28.0,True,
local_synthetic,local-3-2026091143-random,holdout,3,2026091143,random,spatial,16,16,1.0,6658.726807574532,416.1704254734083,0.043677300000126706,27448.63403787266,158,149,66,50,baseline-shared,"{""q3_survey_layout"": ""grid""}",15,count_upper_bound,5489.726807574532,790.0,149.0,198.0,32.0,True,
local_synthetic,local-3-2026091144-random,holdout,3,2026091144,random,spatial,15,15,1.0,8651.363137972729,576.7575425315152,0.04007829999864043,35946.815689863644,223,200,39,24,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7189.3631379727285,1115.0,200.0,117.0,30.0,True,
local_synthetic,local-3-2026091145-random,holdout,3,2026091145,random,spatial,11,11,1.0,8945.23808233203,813.2034620301846,0.025147499998638523,35546.19041166015,292,270,28,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7109.23808233203,1460.0,270.0,84.0,22.0,True,
local_synthetic,local-3-2026091146-random,holdout,3,2026091146,random,spatial,11,11,1.0,9462.155228099447,860.1959298272225,0.0258324000005814,38215.77614049724,293,272,20,9,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7643.155228099447,1465.0,272.0,60.0,22.0,True,
local_synthetic,local-3-2026091147-random,holdout,3,2026091147,random,spatial,11,11,1.0,8956.8271858472,814.2570168952,0.025583199998436612,35709.13592923601,287,265,31,20,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7141.827185847202,1435.0,265.0,93.0,22.0,True,
local_synthetic,local-3-2026091148-random,holdout,3,2026091148,random,spatial,13,13,1.0,8706.68288864111,669.7448375877776,0.029405600000245613,34653.41444320554,279,259,32,19,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6930.682888641108,1395.0,259.0,96.0,26.0,True,
local_synthetic,local-3-2026091149-random,holdout,3,2026091149,random,spatial,11,11,1.0,8264.247337685272,751.295212516843,0.02908729999944626,33221.23668842636,256,231,29,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6644.247337685272,1280.0,231.0,87.0,22.0,True,
local_synthetic,local-3-2026091150-random,holdout,3,2026091150,random,spatial,13,13,1.0,8926.416332736359,686.6474102104892,0.023430999999618507,36487.08166368179,256,236,29,16,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7297.4163327363585,1280.0,236.0,87.0,26.0,True,
local_synthetic,local-3-2026091151-random,holdout,3,2026091151,random,spatial,13,13,1.0,8298.849683753226,638.373052596402,0.0346681000009994,33284.248418766125,249,224,49,36,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6656.849683753225,1245.0,224.0,147.0,26.0,True,
local_synthetic,local-3-2026091152-random,holdout,3,2026091152,random,spatial,12,12,1.0,8849.851861001092,737.4876550834243,0.03364320000036969,35499.259305005464,268,245,47,35,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7099.851861001092,1340.0,245.0,141.0,24.0,True,
local_synthetic,local-3-2026091153-random,holdout,3,2026091153,random,spatial,14,14,1.0,9470.528856584144,676.4663468988674,0.036194300000715884,39327.64428292072,247,225,39,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7865.528856584145,1235.0,225.0,117.0,28.0,True,
local_synthetic,local-3-2026091154-random,holdout,3,2026091154,random,spatial,11,11,1.0,7998.221350655247,727.1110318777497,0.02511179999964952,30951.106753276224,289,269,24,13,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6190.221350655245,1445.0,269.0,72.0,22.0,True,
local_synthetic,local-3-2026091155-random,holdout,3,2026091155,random,spatial,12,12,1.0,8322.958207922997,693.5798506602497,0.020317599999543745,32484.791039614982,291,269,26,14,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6496.958207922997,1455.0,269.0,78.0,24.0,True,
local_synthetic,local-3-2026091156-random,holdout,3,2026091156,random,spatial,16,16,1.0,6241.641660210541,390.1026037631588,0.042775400001119124,26048.2083010527,150,136,38,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",15,count_upper_bound,5209.64166021054,750.0,136.0,114.0,32.0,True,
local_synthetic,local-3-2026091157-random,holdout,3,2026091157,random,spatial,14,14,1.0,8743.368757893637,624.5263398495455,0.03309850000005099,35351.843789468185,257,234,42,28,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7070.368757893637,1285.0,234.0,126.0,28.0,True,
local_synthetic,local-3-2026091158-random,holdout,3,2026091158,random,spatial,13,13,1.0,9447.73810287454,726.7490848365031,0.032922899999903166,38773.690514372705,260,238,43,30,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7754.73810287454,1300.0,238.0,129.0,26.0,True,
local_synthetic,local-3-2026091159-random,holdout,3,2026091159,random,spatial,11,11,1.0,8532.562371668857,775.6874883335324,0.025923299999703886,33462.81185834429,285,264,43,32,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6692.562371668858,1425.0,264.0,129.0,22.0,True,
local_synthetic,local-3-2026091160-random,holdout,3,2026091160,random,spatial,13,13,1.0,8854.468251774071,681.1129424441593,0.03417799999988347,36387.341258870365,245,224,34,21,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7277.468251774073,1225.0,224.0,102.0,26.0,True,
local_synthetic,local-3-2026091161-random,holdout,3,2026091161,random,spatial,12,12,1.0,8642.547845493329,720.2123204577774,0.03345439999975497,34547.73922746665,270,248,37,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6909.54784549333,1350.0,248.0,111.0,24.0,True,
local_synthetic,local-3-2026091162-random,holdout,3,2026091162,random,spatial,14,14,1.0,9550.51868937748,682.1799063841057,0.03409350000038103,40102.593446887404,231,209,46,32,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,8020.518689377481,1155.0,209.0,138.0,28.0,True,
local_synthetic,local-3-2026091163-random,holdout,3,2026091163,random,spatial,10,10,1.0,8422.841990830784,842.2841990830784,0.02500060000056692,32434.209954153917,311,289,24,14,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6486.841990830783,1555.0,289.0,72.0,20.0,True,
local_synthetic,local-3-2026091164-random,holdout,3,2026091164,random,spatial,11,11,1.0,8970.992815990696,815.5448014536996,0.025661300000138,35124.964079953475,301,281,46,35,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7024.992815990695,1505.0,281.0,138.0,22.0,True,
local_synthetic,local-3-2026091165-random,holdout,3,2026091165,random,spatial,10,10,1.0,8430.403005859089,843.0403005859089,0.018391300000075717,32987.01502929544,294,271,24,14,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6597.403005859089,1470.0,271.0,72.0,20.0,True,
local_synthetic,local-3-2026091166-random,holdout,3,2026091166,random,spatial,16,16,1.0,4509.999431390415,281.87496446190096,0.03163559999848076,18209.99715695208,119,115,42,26,baseline-shared,"{""q3_survey_layout"": ""grid""}",8,count_upper_bound,3641.9994313904153,595.0,115.0,126.0,32.0,True,
local_synthetic,local-3-2026091167-random,holdout,3,2026091167,random,spatial,11,11,1.0,8408.295595279516,764.3905086617742,0.024546500000724336,33421.47797639758,273,250,29,18,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6684.295595279516,1365.0,250.0,87.0,22.0,True,
local_synthetic,local-3-2026091168-random,holdout,3,2026091168,random,spatial,14,14,1.0,8531.187179018536,609.3705127870383,0.02541159999964293,34645.93589509268,252,230,28,14,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6929.187179018536,1260.0,230.0,84.0,28.0,True,
local_synthetic,local-3-2026091169-random,holdout,3,2026091169,random,spatial,10,10,1.0,8737.895688369219,873.789568836922,0.028313299999354058,34764.47844184609,282,259,32,22,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6952.895688369219,1410.0,259.0,96.0,20.0,True,
local_synthetic,local-3-2026091170-random,holdout,3,2026091170,random,spatial,10,10,1.0,8502.073269998504,850.2073269998504,0.025418200000785873,33025.36634999252,303,281,27,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6605.073269998504,1515.0,281.0,81.0,20.0,True,
local_synthetic,local-3-2026091171-random,holdout,3,2026091171,random,spatial,16,16,1.0,6363.513779131565,397.7196111957228,0.03151620000062394,25652.568895657827,188,174,29,13,baseline-shared,"{""q3_survey_layout"": ""grid""}",17,count_upper_bound,5130.513779131566,940.0,174.0,87.0,32.0,True,
local_synthetic,local-3-2026091172-random,holdout,3,2026091172,random,spatial,15,15,1.0,8863.26058979954,590.8840393199694,0.029395499999736785,36746.3029489977,235,213,32,17,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7349.26058979954,1175.0,213.0,96.0,30.0,True,
