forward_m,lateral_m,source_range_m,first_error_deg,second_error_deg,area_m2,diameter_m,mec_radius_m,acute_crossing_angle_deg,second_visible
250,250,79.845,-1.005,0,36.22214007043081,14.97415708333368,7.48707854166684,56.911817273184,True
250,250,79.845,-1.005,1.005,38.16017350183379,14.80071684739227,7.400358423696142,56.911817273184,True
250,250,79.845,0.0,-1.005,33.81300674790584,15.183818959704615,7.591909479852315,55.76001371618626,True
250,250,79.845,0.0,0,35.92675862545929,15.000221159561107,7.500110579780554,55.76001371618626,True
250,250,79.845,0.0,1.005,37.885874954188736,14.825517096827614,7.412758548413807,55.76001371618626,True
250,250,79.845,1.005,-1.005,33.47911797509314,15.212349799923963,7.606174899961989,54.60321957059619,True
250,250,79.845,1.005,0,35.61786922748575,15.027370795708931,7.5136853978544655,54.60321957059619,True
250,250,79.845,1.005,1.005,37.599175548122595,14.85135068143693,7.425675340718465,54.60321957059619,True
250,250,154.59,-1.005,-1.005,53.64853751909985,13.345722286748408,6.6728611433742175,70.31649216419875,True
250,250,154.59,-1.005,0,54.69791091142014,13.25527169858645,6.627635849293238,70.31649216419875,True
250,250,154.59,-1.005,1.005,55.72526388352557,13.170063582207092,6.585031791103546,70.31649216419875,True
250,250,154.59,0.0,-1.005,53.43626706833152,13.364394534367765,6.682197267183896,69.11114513552846,True
250,250,154.59,0.0,0,54.490634348935146,13.272879606553335,6.636439803276668,69.11114513552846,True
250,250,154.59,0.0,1.005,55.521983810396875,13.18663893507703,6.593319467538527,69.11114513552846,True
250,250,154.59,1.005,-1.005,53.208524570789535,13.384557326016216,6.692278663008108,67.89236360158974,True
250,250,154.59,1.005,0,54.268450154976335,13.291899378331262,6.645949689165631,67.89236360158974,True
250,250,154.59,1.005,1.005,55.304276934805756,13.204550131246517,6.602275065623272,67.89236360158974,True
250,250,229.335,-1.005,-1.005,69.981512307547,12.461337679115804,6.2306688395579135,86.3462635225963,True
250,250,229.335,-1.005,0,71.13022499140766,12.4416096650216,6.2208048325108,86.3462635225963,True
250,250,229.335,-1.005,1.005,72.31189466866255,12.42576092470271,6.2128804623513645,86.3462635225963,True
