data_source,case_id,phase,question,seed,kind,noise,true_source_count,cleared_count,clear_ratio,virtual_time,average_clear_time,real_program_time,movement_distance,measure_count,channel_switch_count,clear_attempt_count,failed_clear_count,strategy_version,parameters,visited_survey_points,termination,move_s,measure_s,switch_s,optical_s,laser_s,validation_passed,notes
local_synthetic,local-3-2026091107-random,holdout,3,2026091107,random,spatial,11,11,1.0,4406.302082861278,400.5729166237525,0.016961600000286126,17946.51041430639,122,119,22,11,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3589.3020828612784,610.0,119.0,66.0,22.0,True,
local_synthetic,local-3-2026091108-random,holdout,3,2026091108,random,spatial,12,12,1.0,4294.7601049719315,357.8966754143276,0.02421649999996589,17703.800524859656,106,101,33,21,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3540.7601049719315,530.0,101.0,99.0,24.0,True,
local_synthetic,local-3-2026091109-random,holdout,3,2026091109,random,spatial,14,14,1.0,4402.914984972089,314.49392749800637,0.033005000001139706,18639.57492486044,92,88,33,19,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3727.9149849720884,460.0,88.0,99.0,28.0,True,
local_synthetic,local-3-2026091110-random,holdout,3,2026091110,random,spatial,15,15,1.0,5064.38334426258,337.625556284172,0.034880600000178674,21826.916721312904,94,91,36,21,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,4365.383344262581,470.0,91.0,108.0,30.0,True,
local_synthetic,local-3-2026091111-random,holdout,3,2026091111,random,spatial,16,16,1.0,4962.843471021674,310.17771693885464,0.028128199999628123,21229.21735510836,96,94,37,21,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,count_upper_bound,4245.8434710216725,480.0,94.0,111.0,32.0,True,
local_synthetic,local-3-2026091112-random,holdout,3,2026091112,random,spatial,13,13,1.0,4772.510508765614,367.1161929819703,0.024411000000327476,20132.552543828067,108,105,25,12,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,4026.5105087656134,540.0,105.0,75.0,26.0,True,
local_synthetic,local-3-2026091113-random,holdout,3,2026091113,random,spatial,10,10,1.0,4048.0873081532063,404.80873081532064,0.026646700000128476,16185.43654076603,120,113,26,16,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3237.087308153206,600.0,113.0,78.0,20.0,True,
local_synthetic,local-3-2026091114-random,holdout,3,2026091114,random,spatial,15,15,1.0,4476.29497477696,298.4196649851307,0.02403050000066287,18876.474873884803,99,95,27,12,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3775.2949747769603,495.0,95.0,81.0,30.0,True,
local_synthetic,local-3-2026091115-random,holdout,3,2026091115,random,spatial,11,11,1.0,3900.35455200031,354.5776865454827,0.029923500000222703,15986.77276000155,102,96,25,14,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3197.35455200031,510.0,96.0,75.0,22.0,True,
local_synthetic,local-3-2026091116-random,holdout,3,2026091116,random,spatial,11,11,1.0,3594.067313492319,326.7333921356654,0.017359099998429883,14705.336567461596,98,93,16,5,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,2941.067313492319,490.0,93.0,48.0,22.0,True,
local_synthetic,local-3-2026091117-random,holdout,3,2026091117,random,spatial,13,13,1.0,3790.236763503213,291.5566741156318,0.052997799999502604,15471.183817516065,88,83,49,36,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3094.236763503213,440.0,83.0,147.0,26.0,True,
