seed,question,kind,noise,amplitude,variant,sources,cleared,average_s,virtual_s,runtime_s,measurements,clear_attempts,failed_clears,move_m,actions,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits,group
2031091177,3,random,spatial,1,candidate,12,12,274.85558241452867,3298.2669889743443,0.34007259999998496,130,42,30,11871.334944871727,172,2374.2669889743456,124.0,650.0,126.0,24.0,12,7,full_coverage,14,13,validation
2031091178,3,random,spatial,1,baseline,15,15,321.15912183741307,4817.386827561196,0.09710619999987102,92,63,48,20251.93413780597,155,4050.3868275611935,88.0,460.0,189.0,30.0,15,7,full_coverage,15,12,validation
2031091178,3,random,spatial,1,candidate,15,15,245.84175443526038,3687.6263165289056,0.5082484000004115,125,87,72,13258.13158264453,212,2651.626316528906,120.0,625.0,261.0,30.0,15,7,full_coverage,19,16,validation
2031091179,3,random,spatial,1,baseline,12,12,347.0915199996643,4165.098239995971,0.05742850000024191,109,29,17,17030.49119997986,138,3406.098239995972,103.0,545.0,87.0,24.0,12,7,full_coverage,16,16,validation
2031091179,3,random,spatial,1,candidate,12,12,267.3723628139807,3208.468353767769,0.27014729999973497,115,25,13,12127.34176883884,140,2425.468353767768,109.0,575.0,75.0,24.0,12,7,full_coverage,15,15,validation
2031091180,3,random,spatial,1,baseline,15,15,323.8496426084722,4857.744639127083,0.07742980000057287,107,35,20,20423.723195635415,142,4084.7446391270832,103.0,535.0,105.0,30.0,15,7,full_coverage,16,14,validation
2031091180,3,random,spatial,1,candidate,15,15,217.55771915759502,3263.3657873639254,0.3454940000001443,114,39,24,12191.828936819631,153,2438.3657873639263,108.0,570.0,117.0,30.0,15,7,full_coverage,14,14,validation
2031091181,3,random,spatial,1,baseline,15,15,299.85747596448743,4497.862139467312,0.08975579999969341,95,43,28,18864.310697336557,138,3772.862139467312,91.0,475.0,129.0,30.0,15,7,full_coverage,20,17,validation
2031091181,3,random,spatial,1,candidate,15,15,233.25199321590856,3498.7798982386284,0.4990058000003046,124,53,38,12863.899491193142,177,2572.7798982386284,117.0,620.0,159.0,30.0,15,7,full_coverage,22,19,validation
2031091182,3,random,spatial,1,baseline,15,15,321.5690972024158,4823.536458036237,0.05465889999959472,110,37,22,20127.68229018118,147,4025.5364580362357,107.0,550.0,111.0,30.0,15,7,full_coverage,10,9,validation
2031091182,3,random,spatial,1,candidate,15,15,230.8491222369809,3462.7368335547135,0.2389270999992732,114,30,15,13308.68416777357,144,2661.736833554714,111.0,570.0,90.0,30.0,15,7,full_coverage,12,12,validation
2031091183,3,random,spatial,1,baseline,10,10,418.89131240695633,4188.913124069563,0.06653790000018489,107,40,30,17059.565620347814,147,3411.913124069563,102.0,535.0,120.0,20.0,10,7,full_coverage,12,10,validation
2031091183,3,random,spatial,1,candidate,10,10,271.67084504620334,2716.7084504620334,0.2314046999999846,120,31,21,9448.54225231017,151,1889.708450462034,114.0,600.0,93.0,20.0,10,7,full_coverage,14,12,validation
2031091184,3,random,spatial,1,baseline,15,15,319.5372211791637,4793.058317687455,0.06319629999961762,104,22,7,20380.29158843727,126,4076.0583176874543,101.0,520.0,66.0,30.0,15,7,full_coverage,15,15,validation
2031091184,3,random,spatial,1,candidate,15,15,221.35209140956349,3320.2813711434524,0.3164170000000013,112,46,31,12421.406855717265,158,2484.281371143453,108.0,560.0,138.0,30.0,15,7,full_coverage,15,14,validation
2031091185,3,random,spatial,1,baseline,11,11,359.0889243534973,3949.97816788847,0.05328970000027766,103,19,8,16279.89083944235,122,3255.97816788847,100.0,515.0,57.0,22.0,11,7,full_coverage,10,9,validation
2031091185,3,random,spatial,1,candidate,11,11,268.3813730222827,2952.1951032451093,0.1925135000001319,111,29,18,10910.97551622555,140,2182.1951032451097,106.0,555.0,87.0,22.0,11,7,full_coverage,15,12,validation
2031091186,3,random,spatial,1,baseline,13,13,365.9625473400698,4757.5131154209075,0.07917989999987185,104,33,20,20087.565577104535,137,4017.513115420907,95.0,520.0,99.0,26.0,13,7,full_coverage,18,12,validation
2031091186,3,random,spatial,1,candidate,13,13,261.3824210113662,3397.9714731477607,0.3430196999997861,122,49,36,12489.857365738804,171,2497.9714731477607,117.0,610.0,147.0,26.0,13,7,full_coverage,14,13,validation
2031091187,3,random,spatial,1,baseline,12,12,399.1105063787059,4789.326076544471,0.06568409999999858,106,34,22,20141.630382722364,140,4028.326076544473,105.0,530.0,102.0,24.0,12,7,full_coverage,9,7,validation
2031091187,3,random,spatial,1,candidate,12,12,330.018416453814,3960.220997445768,0.2685142000000269,119,61,49,15216.104987228844,180,3043.2209974457687,115.0,595.0,183.0,24.0,12,7,full_coverage,10,9,validation
2031091188,3,random,spatial,1,baseline,15,15,278.67800862362657,4180.170129354398,0.10355799999979354,85,44,29,17560.850646771993,129,3512.1701293543983,81.0,425.0,132.0,30.0,15,7,full_coverage,21,19,validation
2031091188,3,random,spatial,1,candidate,15,15,229.46228221553065,3441.9342332329597,0.4111377999997785,108,75,60,12729.671166164799,183,2545.9342332329597,101.0,540.0,225.0,30.0,15,7,full_coverage,21,20,validation
2031091189,3,random,spatial,1,baseline,11,11,342.0144676208344,3762.1591438291784,0.05209560000002966,110,22,11,15090.795719145895,132,3018.159143829179,106.0,550.0,66.0,22.0,11,7,full_coverage,19,11,validation
2031091189,3,random,spatial,1,candidate,11,11,250.66932514930815,2757.3625766423897,0.31733929999973043,125,23,12,9621.81288321195,148,1924.3625766423897,117.0,625.0,69.0,22.0,11,7,full_coverage,15,14,validation
2031091190,3,random,spatial,1,baseline,11,11,414.6936559790709,4561.63021576978,0.059018599999944854,104,48,37,18868.151078848903,152,3773.630215769781,102.0,520.0,144.0,22.0,11,7,full_coverage,8,8,validation
2031091190,3,random,spatial,1,candidate,11,11,275.0988677209971,3026.087544930968,0.2715375999996468,119,27,16,11080.437724654843,146,2216.0875449309688,112.0,595.0,81.0,22.0,11,7,full_coverage,11,9,validation
2031091191,3,random,spatial,1,baseline,14,14,318.22683428364206,4455.175679970989,0.08096010000008391,104,37,23,18485.87839985494,141,3697.1756799709883,99.0,520.0,111.0,28.0,14,7,full_coverage,15,15,validation
2031091191,3,random,spatial,1,candidate,14,14,244.5123764919096,3423.1732708867344,0.30226000000038766,109,54,40,12935.866354433667,163,2587.1732708867335,101.0,545.0,162.0,28.0,14,7,full_coverage,20,19,validation
2031091192,3,random,spatial,1,baseline,14,14,286.3071479945341,4008.300071923477,0.0724380999999994,92,28,14,16741.500359617385,120,3348.300071923477,88.0,460.0,84.0,28.0,14,7,full_coverage,14,14,validation
2031091192,3,random,spatial,1,candidate,14,14,201.41088080485548,2819.752331267977,0.2859867999995913,102,36,22,10378.761656339884,138,2075.752331267977,98.0,510.0,108.0,28.0,14,7,full_coverage,15,14,validation
2031091193,3,random,spatial,1,baseline,11,11,412.5113670372257,4537.6250374094825,0.05063030000019353,107,31,20,18918.12518704741,138,3783.625037409482,104.0,535.0,93.0,22.0,11,7,full_coverage,12,7,validation
2031091193,3,random,spatial,1,candidate,11,11,302.38090945894083,3326.1900040483492,0.28428509999957896,126,49,38,12045.950020241751,175,2409.19000404835,118.0,630.0,147.0,22.0,11,7,full_coverage,11,11,validation
2031091194,3,random,spatial,1,baseline,14,14,318.40419855359926,4457.65877975039,0.059896800000387884,104,38,24,18488.29389875195,142,3697.6587797503894,98.0,520.0,114.0,28.0,14,7,full_coverage,14,13,validation
2031091194,3,random,spatial,1,candidate,14,14,256.09401568381253,3585.3162195733753,0.3421939999998358,118,47,33,13571.581097866881,165,2714.316219573376,112.0,590.0,141.0,28.0,14,7,full_coverage,14,14,validation
2031091195,3,random,spatial,1,baseline,16,16,284.32744713901866,4549.2391542242985,0.054596500000116066,99,36,20,19111.19577112149,135,3822.2391542242976,92.0,495.0,108.0,32.0,16,7,count_upper_bound,16,12,validation
2031091195,3,random,spatial,1,candidate,16,16,226.1808468923503,3618.893550277605,0.4573040999994191,121,47,31,13629.467751388021,168,2725.8935502776044,115.0,605.0,141.0,32.0,16,7,count_upper_bound,22,20,validation
2031091196,3,random,spatial,1,baseline,12,12,390.45044712133637,4685.405365456037,0.08660239999971964,106,55,43,19317.026827280177,161,3863.4053654560357,103.0,530.0,165.0,24.0,12,7,full_coverage,9,6,validation
2031091196,3,random,spatial,1,candidate,12,12,302.0732359117307,3624.8788309407687,0.273533800000223,112,89,77,13329.394154703845,201,2665.878830940769,108.0,560.0,267.0,24.0,12,7,full_coverage,13,11,validation
2031091197,3,random,spatial,1,baseline,13,13,328.3423967781398,4268.451158115818,0.06430989999989833,101,32,19,17717.25579057909,133,3543.451158115818,98.0,505.0,96.0,26.0,13,7,full_coverage,15,10,validation
2031091197,3,random,spatial,1,candidate,13,13,257.2138950442262,3343.7806355749403,0.3839292000002388,125,53,40,12078.903177874701,178,2415.7806355749403,118.0,625.0,159.0,26.0,13,7,full_coverage,20,17,validation
